Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
5_0_5A	5 Avenue Rd	Eglinton Station	Queen's Park	5A Queen's Park	N/A	Mount Dennis, Wilson	The Mount Dennis TTC employees starts the trip by going on the 5 Avenue Rd
5_0_5B	5 Avenue Rd	Eglinton Station	Gerrard Street West	5B Gerrard	N/A	Wilson	
5_1_5A	5 Avenue Rd	Queen's Park	Eglinton Station	5 Eglinton Stn	N/A	Mount Dennis, Wilson	
5_1_5B	5 Avenue Rd	Gerrard Street West	Eglinton Station	5 Eglinton Stn	N/A	Wilson	
6_0_6A	6 Bay	Davenport Road/Dupont Street	Dockside Drive/Queen Street East	6 Queens Quay and Sherbourne	N/A	Mount Dennis	
6_1_6A	6 Bay	Dockside Drive/Queen Street East	Davenport Road/Dupont Street	6 Dupont	N/A	Mount Dennis	
7_0_7	7 Bathurst 	Greenwin Village/Bathurst (Steeles) 	Bathurst Station	7 Bathurst Stn	N/A	Wilson	
7_0_BWBA	7 Bathurst	Wilson Avenue/Bathurst Street	Bathurst Station	7 Bathurst Stn	First trip for run	Wilson	
7_0_DUBA	7 Bathurst	Duncan Shops (Hillcrest)	Bathurst Station	7 Bathurst Stn	142 Avenue Rd Express	Wilson	This is one of the special branches to bring the employees at TTC Hillcrest division home. Buses may not display as 7 Bathurst. - TRACK
7_0_GRBW	7 Bathurst	Greenwin Village/Bathurst (Steeles) 	Wilson Avenue/Bathurst Street	7S Wilson	Final trip for the run	Wilson	
7_0_HIBA	7 Bathurst	Duncan Shops (Hillcrest) 	Bathurst Station	7 Bathurst Stn	142 Avenue Rd Express	Wilson	This is one of the special branches to bring the employees at TTC Hillcrest division home. Buses may not display as 7 Bathurst. - TRACK
7_1_7	7 Bathurst 	Bathurst Station	Greenwin Village/Bathurst (Steeles) 	7 Steeles 	N/A	Wilson	
7_1_BABW	7 Bathurst	Bathurst Station	Bathurst Street/Wilson Avenue	7S Wilson	Final Trip	Wilson	The route division is located near the end point of this branch. After this trip is completed, buses will deadhead to Wilson division.
7_1_BADU	7 Bathurst	Bathurst Station	Duncan Shops (Hillcrest)	7S Short Turn	142 Avenue Rd Express	Wilson	It is likely the vehicle will not be in service.
7_1_BWGR	7 Bathurst	Bathurst Street/Wilson Avenue	Greenwin Village/Bathurst (Steeles) 	7 Steeles	N/A	Wilson	
7_1_BWVL	7 Bathurst	Wilson Avenue/Bathurst Street	Greenwin Village/Bathurst (Steeles) 	7 Steeles 	N/A	Wilson	
8_0_8	8 Broadview	Coxwell Avenue/Plains Road	Broadview Station	8 Broadview Stn	N/A	Birchmount	
8_1_8	8 Broadview	Broadview Station	Coxwell Avenue/Plains Road	8 Coxwell	N/A	Birchmount	
9_0_9	9 Bellamy	Scarborough Centre Station	Warden Station	9 Warden Stn	N/A	Birchmount	
9_1_9	9 Bellamy	Warden Station	Scarborough Centre Stn	9 Scarborough Centre 	N/A	Birchmount	
9_1_9rush	9 Bellamy	Warden Station	Scarborough Centre Stn	9 Scarborough Centre	bypasses Neilson Avenue	Birchmount	With the high amount of traffic on Kingston Rd, it is hard to serve the Neilson Avenue bus stop. While this branch is running, the stop is not served.
10_0_10	10 Van Horne	Don Mills Station	Van Horne Avenue/Brian Drive	10 Victoria Park	N/A	Wilson	
10_0_VHBR	10 Van Horne	Bickerton Crescent/Van Horne	Van Horne Avenue/Brian Drive	10 Victoria Park	First Trip	Wilson	This is typically the first trip of 10 Van Horne runs. This branch starts at the beginning of the eastern looping, so passengers don't miss out.
10_1_10	10 Van Horne	Van Horne Avenue/Brian Drive	Don Mills Station	10 Don Mills Stn	N/A	Wilson	
11_0_11A	11 Bayview 	Steeles/Bayview Loop	Davisville Station	11A Davisville Stn	via Sunnybrook	Wilson	
11_0_11C	11 Bayview 	Sunnybrook Hospital 	Davisville Station	11 Davisville Stn	N/A	Wilson	
11_1_11A	11 Bayview 	Davisville Station	Steeles/Bayview Loop	11A Steeles	via Sunnybrook	Wilson	
11_1_11Apm	11 Bayview	Davisville Station	Steeles/Bayview Loop	11A Steeles	via Sunnybrook	Wilson	
11_1_11C	11 Bayview 	Davisville Station	Sunnybrook Hospital 	11C Sunnybrook	N/A	Wilson	
12_0_12A	12 Kingston Rd	Victoria Park Station	Kennedy Station	12A Kennedy Stn	via Variety Village and Brimley	Birchmount	
12_0_12Apeak	12 KIngston Rd	Victoria Park Station	Kennedy Station	12A Kennedy Stn	via Variety Village and Brimley	Birchmount	
12_0_12B	12 Kingston Rd	Victoria Park Station	Kennedy Station	12B Kennedy Stn	via Brimley	Birchmount	
12_0_bi12A	12 Kingston Rd	Kingston Rd/Birchmount Road	Kennedy Station	12A Kennedy Stn	N/A	Birchmount	
12_0_12C	12 Kingston Rd	Victoria Park Station	St Clair/Barkdene Hills	12C St Clair and Barkdene Hills	Clockwise	Birchmount	
12_0_12C*	12 Kingston Rd	Victoria Park Station	St Clair/Barkdene Hills	12C St Clair and Barkdene Hills	Counter-Clockwise	Birchmount	
12_0_12Cam	12 Kingston Rd	Victoria Park Station	St Clair/Danforth Rd	12C St Clair and Barkdene Hills	Clockwise	Birchmount	
12_0_12D	12 Kingston Rd	Victoria Park Station	U of T Scarborough	12D UofT Scarborough	bypasses Variety Village	Birchmount	
12_0_VIBI	12 Kingston Rd	Victoria Park Station	Bingham Loop	12S Short Turn 	Last Trip Before Blue Night	Birchmount	
12_0_KRBA	12 Kingston Rd	Kingston Road/Brimley Road	Brooklawn/Barkdene Hills	12C St Clair and Barkdene Hills	First trip	Birchmount	
12_0_KRBAam	12 Kingston Rd	Kingston Road/Brimley Road	Brooklawn/Barkdene Hills	12C St Clair and Barkdene Hills	First Trip	Birchmount	
12_0_KRBA*	12 Kingston Rd	Kingston Road/Brimley Road	Brooklawn/Barkdene Hills	12C St Clair and Barkdene Hills	First trip	Birchmount	
12_1_12A	12 Kingston Rd	Kennedy Station	Victoria Park Station	12A Victoria Park Stn	via Brimley and Variety Village	Birchmount	
12_1_12B	12 Kingston Rd	Kennedy Station	Victoria Park Station	12B Victoria Park Stn	via Brimley	Birchmount	
12_1_12*bi	12 Kingston Rd	Kingston Road/Birchmount Road	Victoria Park Station	12A Victoria Park Stn	via Brimley and Variety Village	Birchmount	
12_1_12C	12 Kingston Rd	St Clair/Barkdene Hills	Victoria Park Station	12C Victoria Park Stn	Clockwise	Birchmount	
12_1_12C*	12 Kingston Rd	St Clair/Barkdene Hills	Victoria Park Station	12C Victoria Park Stn	Counter-Clockwise	Birchmount	
12_1_12D	12 Kingston Rd	U of T Scarborough	Victoria Park Station	12D Victoria Park Stn	bypasses Variety Village	Birchmount	
12_1_NMVI	12 Kingston Rd	Neil McNeil HS	Victoria Park Station	12E Victoria Park Stn 	Express	Birchmount	
12_1_cd12C	12 Kingston Rd	Kingston Rd/Resthaven Memorial Gardens	Victoria Park Station	12C Victoria Park Stn	School Trip: Interlined with 91	Birchmount	TRACK
12_1_kb12C	12 Kingston Rd	Kingston Road/Brimley Road	Brooklawn/Barkdene Hills	12C Barkdene Hills	N/A	Birchmount	
12_1_BAKR	12 Kingston Rd	Brooklawn/Barkdene Hills	Kingston Road/Brimley Road	12C Barkdene Hills	Last Trip 	Birchmount	
14_0_14	14 Glencarin	Caledonia Road	Davisville Station	14 Davisville Stn	N/A	Mount Dennis, Wilson	
14_1_14	14 Glencarin	Davisville Station	Caledonia Road	14 Caledonia 	N/A	Mount Dennis, Wilson	
15_0_15	15 Evans	Royal York Station	Sherway Gardens	15 Sherway 	N/A	Queensway	
15_1_15	15 Evans 	Sherway Gardens	Royal York Station	15 Royal York Stn	N/A	Queensway	
15_1_ESRY	15 Evans 	The East Mall	Royal York Station	15 Royal York Stn	School Trip	Queensway	TRACK
15_1_BSRY	15 Evans 	Bishop Allen School	Royal York Station	15 Royal York Stn	School Trip: Interlined with 111 and 45	Queensway	TRACK
16_0_16	16 McCowan 	Scarborough Centre Station	Warden Station	16 Warden Stn	N/A	Birchmount, Eglinton	
16_1_16	16 McCowan 	Warden Station	Scarborough Centre Station	16 Scarborough Centre	N/A	Birchmount, Eglinton	
16_0_16dd	16 McCowan 	Scarborough Centre Station	Warden Avenue/Danforth Road	16S Danforth 	bypasses Warden Stn	Birchmount	TRACK
17_0_17A	17 Birchmount 	Birchmount Rd/Rougeside Promenade	Warden Station	17 Warden Stn	N/A	Birchmount	
17_0_17B	17 Birchmount 	Steeles/Mountcastle Gate	Warden Station	17 Warden Stn	N/A	Birchmount	
17_0_17C	17 Birchmount 	Steeles/Warden Loop	Warden Station	17 Warden Stn	N/A	Birchmount	
17_0_ke17S	17 Birchmount 	McNicoll/Kennedy Road	Warden Station	17 Warden Stn	Interlined with 902 Markham Rd Express: School trip, Mary Ward Catholic Secondary School	Birchmount	TRACK
17_1_17A	17 Birchmount 	Warden Station	Birchmount Rd/Rougeside Promenade	17A Highway 7	Extra Fare Required North of Steeles	Birchmount	
17_1_17B	17 Birchmount 	Warden Station	Steeles/Mountcastle Gate	17B Steeles via Wintermute	N/A	Birchmount	
17_1_17C	17 Birchmount 	Warden Station	Steeles/Warden Loop	17C Steeles and Warden	N/A	Birchmount	
17_1_BIRO	17 Birchmount	Birchmount Rd/Steeles Avenue East	Rougeside Promenade (Highway 7)	17A Highway 7	Extra Fare Required North of Steeles	Birchmount	
17_1_WIST	17 Birchmount	Warden Station	Steeles/Warden Loop	17C Steeles and Warden	N/A	Birchmount	
20_0_20	20 Cliffside	Main Street Station	Kennedy Station	20 Kennedy Stn	N/A	Birchmount	
20_0_st20	20 Cliffside	Birchmount Road/Highview Avenue	Kennedy Station	20 Kennedy Stn	School trip	Birchmount	
20_1_20	20 Cliffside	Kennedy Station	Main Street Station	20 Main Street Stn	N/A	Birchmount	
21_0_21A	21 Brimley 	Scarborough Centre Station	Kennedy Stn	21A Kennedy Stn	N/A	Malvern	
21_0_21B	21 Brimley 	Steeles Avenue East	Scarborough Centre Station	21B Scarborough Centre	N/A	Malvern	
21_0_21C	21 Brimley 	Steeles Avenue East	Kennedy Stn	21C Kennedy Stn via Scarborough Ctr	N/A	Malvern	
21_1_21A	21 Brimley 	Kennedy Station	Scarborough Centre Station	21A Scarborough Centre	N/A	Malvern	
21_1_21B	21 Brimley 	Scarborough Centre Station	Steeles Avenue East	21B Steeles	N/A	Malvern	
21_1_21C	21 Brimley 	Kennedy Station	Steeles Avenue East	21C Steeles via Scarborough Ctr	N/A	Malvern	
22_0_22A	22 Coxwell	Coxwell Station	Bingham Loop	22A Victoria Park	via Kingston Rd	Birchmount	
22_0_22Acon	22 Coxwell	Coxwell Station	Bingham Loop	22A Victoria Park	via Kingston Rd	Birchmount	
22_0_22B	22 Coxwell 	Coxwell Station	Queen Street	22B Queen	N/A	Birchmount	
22_0_22Bcon	22 Coxwell	Coxwell Station	Queen Street	22B Queen	N/A	Birchmount	
22_1_22A	22 Coxwell 	Bingham Loop	Coxwell Station	22 Coxwell Stn	via Kingston Rd	Birchmount	
22_1_22Acon	22 Coxwell	Bingham Loop	Coxwell Station	22 Coxwell Stn	via Kingston Rd	Birchmount	
22_1_22B	22 Coxwell 	Queen Street	Coxwell Station	22 Coxwell Stn	N/A	Birchmount	
22_1_22Bcon	22 Coxwell	Queen Street	Coxwell Station	22 Coxwell Stn	N/A	Birchmount	
23_0_23	23 Dawes	St Clair Ave East/Victoria Park	Main Street Station	23 Main Street Stn	N/A	Birchmount	
23_0_DRSC	23 Dawes	195 Rexleigh Drive	St Clair Ave East/Victoria Park 	23 St Clair	Last run 	Birchmount	
23_1_23	23 Dawes	Main Street Station	St Clair Ave East/Victoria Park 	23 St Clair 	N/A	Birchmount	
23_1_FRDR	23 Dawes	Dawes Road/Ferris Road	195 Rexleigh Drive	23 St Clair	First run 	Birchmount	
24_0_24A	24 Victoria Park	Steeles/Victoria Park Loop	Victoria Park Station	24 Victoria Park Stn	N/A	Birchmount	
24_0_24B	24 Victoria Park	Don Mills Station	Victoria Park Station	24B Victoria Park Stn via Consumers Rd	N/A	Birchmount	
24_0_24da	24 Victoria Park	Steeles/Victoria Park Loop	Danforth/Victoria Park	24 Victoria Park Stn	N/A	Birchmount	
24_0_24vda	24 Victoria Park	Steeles/Victoria Park Loop	Danforth/Victoria Park	24 Bingham	Trip to Bingham Loop 	Birchmount	
24_0_SOVI	24 Victoria Park 	Rowena Drive/Victoria Park	Victoria Park Station	24 Victoria Park Stn	School trip, Senator O'Connor	Birchmount	
